SalD	subspecies
SalD_01	2
SalD_02	2
SalD_03	2
SalD_04	2
SalD_05	1
SalD_06	1
SalD_07	1
SalD_08	3
SalD_09b	3
SalD_10	3
SalD_100	5
SalD_101b	5
SalD_102	6
SalD_103	6
SalD_104	6
SalD_105	6
SalD_106	6
SalD_107	6
SalD_108	6
SalD_109	6
SalD_11	3
SalD_110	6
SalD_111	6
SalD_112	6
SalD_113	6
SalD_114	6
SalD_115	6
SalD_116	6
SalD_117	6
SalD_118	6
SalD_119	6
SalD_12	3
SalD_120	6
SalD_121	6
SalD_122	6
SalD_123	6
SalD_124	6
SalD_125	6
SalD_126	6
SalD_127	7
SalD_128	7
SalD_129	7
SalD_13	3
SalD_130	7
SalD_131	7
SalD_132	7
SalD_133	7
SalD_134	7
SalD_135	7
SalD_136	7
SalD_137a	22
SalD_138b	22
SalD_139a	22
SalD_14	3
SalD_140b	22
SalD_141a	22
SalD_142b	22
SalD_143a	8
SalD_144a	8
SalD_145a	9
SalD_146a	9
SalD_147a	9
SalD_148b	23
SalD_149a	23
SalD_150a	23
SalD_151	5
SalD_152	5
SalD_153	10
SalD_154	10
SalD_155	10
SalD_156	5
SalD_159	5
SalD_16	3
SalD_160	5
SalD_162	5
SalD_163	5
SalD_164	5
SalD_165	5
SalD_166	5
SalD_167	5
SalD_168	5
SalD_169	5
SalD_17	3
SalD_170	5
SalD_172	5
SalD_173	5
SalD_174	5
SalD_175	5
SalD_176	5
SalD_177	5
SalD_178	5
SalD_179	5
SalD_180	5
SalD_182	5
SalD_183	5
SalD_184	5
SalD_186	5
SalD_187	5
SalD_188	5
SalD_189	5
SalD_190	9
SalD_191	3
SalD_192	3
SalD_193	3
SalD_194	3
SalD_195	3
SalD_196	3
SalD_197	3
SalD_198	3
SalD_199	3
SalD_20	3
SalD_200	3
SalD_201	3
SalD_202	3
SalD_203	3
SalD_204	3
SalD_205	3
SalD_206	3
SalD_207	3
SalD_208	3
SalD_209	3
SalD_21	3
SalD_210	3
SalD_211	3
SalD_212	3
SalD_213	3
SalD_214	5
SalD_215	5
SalD_216	5
SalD_217	5
SalD_218	5
SalD_219	5
SalD_220	3
SalD_221	3
SalD_222	3
SalD_223	3
SalD_224	3
SalD_225	3
SalD_226	3
SalD_227	3
SalD_228	3
SalD_229	3
SalD_230	3
SalD_231	3
SalD_232	3
SalD_233	3
SalD_235	3
SalD_236	3
SalD_237	3
SalD_238	3
SalD_239	3
SalD_24	3
SalD_240	3
SalD_241	3
SalD_242	3
SalD_243	10
SalD_244	5
SalD_245	5
SalD_246	5
SalD_247	5
SalD_248	5
SalD_249	5
SalD_250	5
SalD_251	5
SalD_252	5
SalD_253	5
SalD_254	5
SalD_255	5
SalD_256	5
SalD_257	5
SalD_258	5
SalD_259	5
SalD_26	3
SalD_260	5
SalD_261	5
SalD_262	5
SalD_263	5
SalD_264	5
SalD_265	5
SalD_266	5
SalD_267	5
SalD_268	5
SalD_269	5
SalD_27	3
SalD_270	5
SalD_271	5
SalD_272	5
SalD_273	5
SalD_274	5
SalD_275	10
SalD_276	10
SalD_277	10
SalD_278	10
SalD_279	10
SalD_28	3
SalD_280	10
SalD_281	10
SalD_282	10
SalD_283	9
SalD_29	3
SalD_30	4
SalD_31	3
SalD_32	3
SalD_33	3
SalD_34	3
SalD_35	3
SalD_36	3
SalD_37	3
SalD_38	3
SalD_39	3
SalD_40	3
SalD_41	1
SalD_42	1
SalD_424	3
SalD_43	1
SalD_44	1
SalD_45	1
SalD_46	1
SalD_47	4
SalD_48	1
SalD_49	1
SalD_51	1
SalD_52	1
SalD_53	1
SalD_54	1
SalD_55	1
SalD_57	2
SalD_59	2
SalD_60	3
SalD_61	3
SalD_62	3
SalD_64	3
SalD_65	3
SalD_66	2
SalD_667_5	7
SalD_67	2
SalD_68	2
SalD_69	2
SalD_70	2
SalD_71	2
SalD_72	2
SalD_73	2
SalD_74	2
SalD_75	1
SalD_76	2
SalD_77	2
SalD_78	2
SalD_79	2
SalD_80	3
SalD_81	3
SalD_82	3
SalD_83b	3
SalD_84	3
SalD_85	3
SalD_86	3
SalD_87	3
SalD_871_3	2
SalD_88	3
SalD_89	3
SalD_90	3
SalD_91	3
SalD_92	3
SalD_93	3
SalD_94	3
SalD_95	3
SalD_96	3
SalD_97	3
SalD_98	5
SalD_99	5
SalD_284	6
SalD_285	6
SalD_286	6
SalD_287	6
SalD_288	18
SalD_289	18
SalD_290	18
SalD_291	18
SalD_292	18
SalD_293	18
SalD_294	18
SalD_295	18
SalD_296	18
SalD_297	18
SalD_298	18
SalD_299	18
SalD_300	18
SalD_301	18
SalD_302	18
SalD_303	19
SalD_304	19
SalD_305	19
SalD_306	19
SalD_307	19
SalD_308	19
SalD_309	19
SalD_310	19
SalD_311	19
SalD_312	19
SalD_313	19
SalD_314	19
SalD_315	19
SalD_316	19
SalD_317	19
SalD_318	19
SalD_319	19
SalD_320	19
SalD_321	20
SalD_322	20
SalD_323	3
SalD_324	20
SalD_325	20
SalD_326	20
SalD_327	20
SalD_329	21
SalD_332	21
SalD_336	21
SalD_339	21
SalD_341	21
