CHROM	BIN_START	N_SNPS	TajimaD
chr6	0	402	1.43291
chr6	50000	340	2.49609
chr6	100000	256	2.15876
chr6	150000	245	2.07796
chr6	200000	355	1.98808
chr6	250000	322	1.4386
chr6	300000	290	1.39775
chr6	350000	476	1.21896
chr6	400000	453	2.4264
chr6	450000	268	1.62005
chr6	500000	363	1.26138
chr6	550000	404	1.49972
chr6	600000	350	1.51815
chr6	650000	615	1.23923
chr6	700000	401	1.43516
chr6	750000	528	1.97047
chr6	800000	374	1.92666
chr6	850000	253	0.939801
chr6	900000	179	0.985307
chr6	950000	167	-0.692711
chr6	1000000	115	-0.364776
chr6	1050000	91	-0.821048
chr6	1100000	127	-0.882349
chr6	1150000	99	-0.421499
chr6	1200000	194	-0.524473
chr6	1250000	236	-0.634644
chr6	1300000	391	-0.893532
chr6	1350000	391	-1.02357
chr6	1400000	225	-0.303443
chr6	1450000	190	1.35667
chr6	1500000	123	1.07688
chr6	1550000	274	0.46047
chr6	1600000	312	0.315635
chr6	1650000	196	0.588971
chr6	1700000	322	-0.93565
chr6	1750000	267	-0.997229
chr6	1800000	362	0.847901
chr6	1850000	382	0.144532
chr6	1900000	145	0.787938
chr6	1950000	151	-0.204594
chr6	2000000	111	1.40821
chr6	2050000	184	0.417349
chr6	2100000	140	1.27856
chr6	2150000	289	-0.587371
chr6	2200000	301	0.727456
chr6	2250000	295	1.61835
chr6	2300000	100	0.364487
chr6	2350000	106	-0.588965
chr6	2400000	175	-1.04519
chr6	2450000	210	-1.174
chr6	2500000	151	-1.19976
chr6	2550000	160	-0.878781
chr6	2600000	227	-0.710448
chr6	2650000	107	0.548202
chr6	2700000	255	1.61524
chr6	2750000	62	-0.278724
chr6	2800000	203	-0.765257
chr6	2850000	238	-0.549722
chr6	2900000	103	-0.669031
chr6	2950000	260	0.447842
chr6	3000000	246	-0.0548871
chr6	3050000	154	-0.197602
chr6	3100000	234	0.645137
chr6	3150000	162	-0.126234
chr6	3200000	132	-0.0841276
chr6	3250000	137	-0.636996
chr6	3300000	119	0.682281
chr6	3350000	198	0.220468
chr6	3400000	144	0.738813
chr6	3450000	192	0.49702
chr6	3500000	327	2.14999
chr6	3550000	161	0.21777
chr6	3600000	147	1.13221
chr6	3650000	157	0.207126
chr6	3700000	279	0.148362
chr6	3750000	173	-0.956436
chr6	3800000	237	1.11335
chr6	3850000	260	1.65261
chr6	3900000	246	0.00460305
chr6	3950000	239	0.355611
chr6	4000000	500	1.4724
chr6	4050000	377	1.97822
chr6	4100000	299	-0.334954
chr6	4150000	268	-1.16189
chr6	4200000	232	-1.57792
chr6	4250000	241	-0.481677
chr6	4300000	246	-0.501556
chr6	4350000	426	-0.33756
chr6	4400000	232	1.99432
chr6	4450000	272	1.09116
chr6	4500000	330	0.996877
chr6	4550000	420	0.260588
chr6	4600000	179	1.02666
chr6	4650000	107	-0.886455
chr6	4700000	116	-1.0213
chr6	4750000	221	-0.878759
chr6	4800000	182	-1.05143
chr6	4850000	128	-0.872798
chr6	4900000	314	-0.543031
chr6	4950000	293	-0.414355
chr6	5000000	203	-0.558963
chr6	5050000	129	-0.278709
chr6	5100000	166	-0.645536
chr6	5150000	181	0.305403
chr6	5200000	202	-0.20463
chr6	5250000	343	0.677337
chr6	5300000	366	1.2498
chr6	5350000	431	0.993469
chr6	5400000	418	-0.169526
chr6	5450000	260	-0.21195
chr6	5500000	203	1.8159
chr6	5550000	378	1.70516
chr6	5600000	385	1.93363
chr6	5650000	363	1.40264
chr6	5700000	295	2.29474
chr6	5750000	415	1.92084
chr6	5800000	495	2.21289
chr6	5850000	345	1.70698
chr6	5900000	267	0.454089
chr6	5950000	346	1.10165
chr6	6000000	244	0.833304
chr6	6050000	223	1.07126
chr6	6100000	318	2.3861
chr6	6150000	418	1.7462
chr6	6200000	268	2.21055
chr6	6250000	399	0.94701
chr6	6300000	411	1.27689
chr6	6350000	506	1.5362
chr6	6400000	246	1.55282
chr6	6450000	299	0.402213
chr6	6500000	369	0.515842
chr6	6550000	220	0.44772
