CHROM	BIN_START	N_SNPS	TajimaD
chr6	0	372	-1.68247
chr6	50000	202	-1.40264
chr6	100000	174	-1.51072
chr6	150000	198	-1.61158
chr6	200000	258	-1.59439
chr6	250000	285	-1.16704
chr6	300000	226	-1.64214
chr6	350000	361	-1.42255
chr6	400000	171	-1.32247
chr6	450000	132	-1.31963
chr6	500000	181	-1.07837
chr6	550000	258	-1.55136
chr6	600000	186	-1.387
chr6	650000	436	-1.25428
chr6	700000	270	-1.22777
chr6	750000	206	-1.49269
chr6	800000	158	-1.36942
chr6	850000	190	-1.42087
chr6	900000	134	-1.4143
chr6	950000	235	-1.44849
chr6	1000000	160	-1.55414
chr6	1050000	146	-1.31658
chr6	1100000	171	-1.34548
chr6	1150000	160	-1.40075
chr6	1200000	373	-1.22927
chr6	1250000	493	-1.44439
chr6	1300000	327	-1.45129
chr6	1350000	280	-1.35317
chr6	1400000	224	-1.30533
chr6	1450000	130	-1.16122
chr6	1500000	171	-1.31603
chr6	1550000	166	-1.56386
chr6	1600000	139	-1.56932
chr6	1650000	253	-1.36817
chr6	1700000	515	-1.43535
chr6	1750000	235	-1.54188
chr6	1800000	174	-1.33788
chr6	1850000	238	-1.23651
chr6	1900000	175	-1.20172
chr6	1950000	361	-1.15141
chr6	2000000	126	-1.24417
chr6	2050000	319	-1.16772
chr6	2100000	147	-1.13129
chr6	2150000	315	-1.36064
chr6	2200000	310	-1.09828
chr6	2250000	197	-1.12222
chr6	2300000	145	-1.58042
chr6	2350000	163	-1.40589
chr6	2400000	271	-1.50106
chr6	2450000	334	-1.35205
chr6	2500000	257	-1.47404
chr6	2550000	283	-1.45686
chr6	2600000	382	-1.46869
chr6	2650000	184	-1.23335
chr6	2700000	286	-1.78709
chr6	2750000	179	-1.66464
chr6	2800000	338	-1.38371
chr6	2850000	371	-1.3493
chr6	2900000	164	-1.36368
chr6	2950000	247	-0.582876
chr6	3000000	203	-1.15247
chr6	3050000	235	-1.36953
chr6	3100000	246	-1.46922
chr6	3150000	195	-1.2728
chr6	3200000	150	-1.30015
chr6	3250000	343	-1.2436
chr6	3300000	149	-1.39418
chr6	3350000	273	-1.1632
chr6	3400000	164	-1.45598
chr6	3450000	343	-1.40954
chr6	3500000	189	-1.49191
chr6	3550000	207	-1.25047
chr6	3600000	140	-1.33133
chr6	3650000	201	-1.3639
