CHROM	BIN_START	N_SNPS	TajimaD
chr6	0	172	-1.60733
chr6	50000	111	-1.3577
chr6	100000	111	-1.60797
chr6	150000	93	-1.58006
chr6	200000	138	-1.58426
chr6	250000	174	-1.44559
chr6	300000	120	-1.60698
chr6	350000	198	-1.61263
chr6	400000	113	-1.13053
chr6	450000	82	-1.21747
chr6	500000	138	-1.50964
chr6	550000	139	-1.22903
chr6	600000	102	-1.64951
chr6	650000	293	-1.60446
chr6	700000	146	-1.38751
chr6	750000	117	-1.46146
chr6	800000	103	-1.59238
chr6	850000	92	-1.76867
chr6	900000	79	-1.65169
chr6	950000	161	-1.60085
chr6	1000000	96	-1.5977
chr6	1050000	88	-1.72893
chr6	1100000	100	-1.32674
chr6	1150000	99	-1.56905
chr6	1200000	256	-1.51858
chr6	1250000	292	-1.43769
chr6	1300000	201	-1.65604
chr6	1350000	158	-1.53162
chr6	1400000	143	-0.991657
chr6	1450000	84	-1.51498
chr6	1500000	116	-1.74126
chr6	1550000	95	-1.70497
chr6	1600000	77	-1.61907
chr6	1650000	132	-1.54224
chr6	1700000	375	-1.87807
chr6	1750000	126	-1.7217
chr6	1800000	111	-1.30116
chr6	1850000	172	-1.56262
chr6	1900000	94	-1.60562
chr6	1950000	244	-1.43561
chr6	2000000	82	-0.485893
chr6	2050000	195	-1.35432
chr6	2100000	78	-1.34602
chr6	2150000	212	-1.62594
chr6	2200000	185	-1.13023
chr6	2250000	124	-1.61428
chr6	2300000	89	-1.84725
chr6	2350000	86	-1.19688
chr6	2400000	165	-1.33687
chr6	2450000	205	-1.52953
chr6	2500000	137	-1.58508
chr6	2550000	158	-1.52349
chr6	2600000	199	-1.45685
chr6	2650000	106	-1.06662
chr6	2700000	128	-1.56544
chr6	2750000	73	-1.43666
chr6	2800000	212	-1.56735
chr6	2850000	242	-1.45949
chr6	2900000	102	-1.25312
chr6	2950000	169	-0.596085
chr6	3000000	119	-1.36606
chr6	3050000	130	-1.55336
chr6	3100000	172	-1.86121
chr6	3150000	112	-1.42419
chr6	3200000	88	-1.59167
chr6	3250000	220	-1.14842
chr6	3300000	93	-1.37786
chr6	3350000	164	-1.44556
chr6	3400000	114	-1.59031
chr6	3450000	219	-1.39379
chr6	3500000	119	-1.31057
chr6	3550000	122	-1.45066
chr6	3600000	89	-1.08097
chr6	3650000	121	-1.29549
chr6	3700000	339	-1.63789
chr6	3750000	189	-1.39643
chr6	3800000	135	-1.15338
chr6	3850000	94	-1.16825
chr6	3900000	238	-1.61548
chr6	3950000	154	-1.50247
chr6	4000000	182	-1.38427
chr6	4050000	100	-1.63882
chr6	4100000	310	-1.87011
chr6	4150000	225	-1.57746
chr6	4200000	139	-1.65691
chr6	4250000	145	-1.5308
chr6	4300000	198	-1.26409
chr6	4350000	277	-1.49282
chr6	4400000	49	-1.24653
chr6	4450000	102	-1.5247
chr6	4500000	123	-0.85203
chr6	4550000	139	-1.57715
chr6	4600000	97	-1.75558
chr6	4650000	113	-1.28086
chr6	4700000	117	-1.45915
chr6	4750000	203	-1.43293
chr6	4800000	97	-1.24042
chr6	4850000	90	-1.95225
chr6	4900000	323	-1.64743
chr6	4950000	248	-1.1668
chr6	5000000	202	-1.17876
chr6	5050000	120	-1.3273
chr6	5100000	172	-1.62161
chr6	5150000	117	-1.18013
chr6	5200000	97	-1.60831
